timestamp,node,ax,ay,az,gx,gy,gz,t_ms
2026-05-19 20:14:13,esterno,2740,15536,2824,-1004,-1954,-381,575486
2026-05-19 20:14:13,lombar,16232,-324,-2276,-491,-370,774,1232941
2026-05-19 20:14:13,esterno,2752,15624,2572,-1094,-2202,-674,575508
2026-05-19 20:14:14,esterno,2660,15312,2672,-1032,-2370,-645,575530
2026-05-19 20:14:14,lombar,16216,-328,-2392,-703,-548,652,1232963
2026-05-19 20:14:14,lombar,16232,-44,-2144,-927,-553,786,1232985
2026-05-19 20:14:14,esterno,2888,15548,3064,-1380,-2529,-807,575552
2026-05-19 20:14:14,lombar,16332,-8,-2232,-1073,-610,842,1233007
2026-05-19 20:14:14,esterno,3288,15652,2792,-1703,-2681,-959,575574
2026-05-19 20:14:14,lombar,16392,-148,-2184,-1138,-679,889,1233029
2026-05-19 20:14:14,esterno,3456,15664,2700,-1730,-2689,-1099,575596
2026-05-19 20:14:14,lombar,16432,-268,-2120,-1096,-716,892,1233051
2026-05-19 20:14:14,esterno,3456,15772,3064,-2341,-2556,-1285,575618
2026-05-19 20:14:14,lombar,16240,-348,-2172,-952,-544,811,1233073
2026-05-19 20:14:14,esterno,3500,15544,3360,-2783,-2373,-1539,575640
2026-05-19 20:14:14,lombar,16572,-196,-2616,-886,-355,1117,1233095
2026-05-19 20:14:14,esterno,3096,15300,3104,-2299,-2456,-1488,575662
2026-05-19 20:14:14,lombar,16552,-48,-2480,-953,-347,1286,1233117
2026-05-19 20:14:14,esterno,3112,15148,2936,-2901,-2568,-1459,575684
2026-05-19 20:14:14,lombar,16444,-128,-2376,-1007,-431,1311,1233139
2026-05-19 20:14:14,esterno,3656,15196,2824,-2557,-2429,-1284,575706
2026-05-19 20:14:14,lombar,16488,-228,-2616,-1119,-424,1234,1233161
2026-05-19 20:14:14,esterno,3392,15304,2912,-2292,-2406,-987,575728
2026-05-19 20:14:14,lombar,16464,-420,-2472,-1111,-379,1182,1233183
2026-05-19 20:14:14,esterno,3256,15080,3104,-1875,-2387,-967,575750
2026-05-19 20:14:14,lombar,16532,-620,-2308,-1171,-406,1023,1233205
2026-05-19 20:14:14,esterno,3212,15296,3400,-1732,-2372,-869,575772
2026-05-19 20:14:14,lombar,16620,-164,-2328,-969,-645,825,1233227
2026-05-19 20:14:14,esterno,3164,15348,3332,-1800,-2179,-704,575794
2026-05-19 20:14:14,lombar,16460,-348,-2404,-1021,-632,831,1233249
2026-05-19 20:14:14,esterno,2992,15280,3364,-1977,-2030,-945,575816
2026-05-19 20:14:14,lombar,16464,-400,-2536,-1046,-547,896,1233271
2026-05-19 20:14:14,esterno,2740,15064,3580,-2053,-1740,-1269,575838
2026-05-19 20:14:14,lombar,16424,-428,-2504,-1060,-259,859,1233293
2026-05-19 20:14:14,esterno,2308,15376,4300,-1689,-1633,-1317,575860
2026-05-19 20:14:14,lombar,16456,-620,-2352,-1063,-151,820,1233315
2026-05-19 20:14:14,esterno,3232,15160,3536,-1574,-1344,-1243,575882
2026-05-19 20:14:14,lombar,16524,-624,-2376,-965,-170,764,1233337
2026-05-19 20:14:14,esterno,3592,15256,3368,-1620,-1266,-1128,575904
2026-05-19 20:14:14,lombar,16532,-476,-2528,-787,-160,694,1233359
2026-05-19 20:14:14,esterno,3320,14996,3612,-1470,-1490,-1191,575926
2026-05-19 20:14:14,lombar,16472,-680,-2444,-446,168,707,1233381
2026-05-19 20:14:14,esterno,2576,14976,4576,-1187,-1444,-1214,575948
2026-05-19 20:14:14,lombar,16592,-828,-2504,-245,176,624,1233403
2026-05-19 20:14:14,esterno,3348,14924,2984,-744,-1051,-1125,575970
2026-05-19 20:14:14,lombar,16604,-444,-2536,-230,156,570,1233425
2026-05-19 20:14:14,esterno,3444,14972,4124,-495,-1249,-1191,575992
2026-05-19 20:14:14,lombar,16688,-92,-2292,-365,266,727,1233447
2026-05-19 20:14:14,esterno,3316,15268,3764,-616,-1432,-845,576014
2026-05-19 20:14:14,lombar,16612,-336,-2416,-395,306,815,1233469
2026-05-19 20:14:14,esterno,2432,14996,3464,-576,-1539,-772,576036
2026-05-19 20:14:14,lombar,16544,-608,-2388,-226,347,834,1233491
2026-05-19 20:14:14,esterno,2616,15064,3868,-257,-1091,-1042,576058
2026-05-19 20:14:14,lombar,16720,-788,-2100,-252,256,834,1233513
2026-05-19 20:14:14,esterno,2968,15244,3616,4,-939,-1177,576080
2026-05-19 20:14:14,lombar,16508,-720,-2132,-428,293,782,1233535
2026-05-19 20:14:14,esterno,2872,15116,3840,-548,-1229,-1881,576102
2026-05-19 20:14:14,lombar,16432,-320,-2176,-377,293,891,1233557
2026-05-19 20:14:14,esterno,2380,15544,3812,-77,-1132,-1628,576124
2026-05-19 20:14:14,lombar,16440,-216,-2192,-538,269,1083,1233579
2026-05-19 20:14:14,esterno,2408,15440,4132,-117,-1056,-1262,576146
2026-05-19 20:14:14,lombar,16536,-488,-2052,-728,283,1155,1233601
2026-05-19 20:14:14,esterno,2628,15012,4072,-221,-1032,-1443,576168
2026-05-19 20:14:14,lombar,16508,-712,-2072,-820,191,1087,1233623
2026-05-19 20:14:14,esterno,2556,15168,3996,-196,-1187,-1453,576190
2026-05-19 20:14:14,lombar,16372,-636,-2164,-1037,95,982,1233645
2026-05-19 20:14:14,esterno,2276,15384,3760,-242,-1271,-1159,576212
2026-05-19 20:14:14,lombar,16368,-504,-2108,-1198,-43,980,1233667
2026-05-19 20:14:14,esterno,1992,15428,4424,-210,-1453,-999,576234
2026-05-19 20:14:14,lombar,16436,-652,-2304,-1321,-160,1046,1233689
2026-05-19 20:14:14,esterno,2088,15448,4112,-412,-1573,-972,576256
2026-05-19 20:14:14,lombar,16592,-908,-2388,-1284,-174,991,1233711
