timestamp,node,ax,ay,az,gx,gy,gz,t_ms
2026-05-19 20:05:54,esterno,2672,15564,1476,-143,703,-230,76064
2026-05-19 20:05:54,lombar,16780,64,1520,166,-739,395,733497
2026-05-19 20:05:54,esterno,2668,15764,1532,-293,714,-147,76086
2026-05-19 20:05:54,lombar,16608,4,1512,212,-675,442,733519
2026-05-19 20:05:54,esterno,2320,15736,1600,-201,615,-162,76108
2026-05-19 20:05:54,lombar,16764,8,1444,185,-599,490,733541
2026-05-19 20:05:54,esterno,2320,15416,1408,-38,543,-128,76130
2026-05-19 20:05:54,lombar,16752,56,1516,153,-708,416,733563
2026-05-19 20:05:54,esterno,2252,15692,1788,-202,190,-61,76152
2026-05-19 20:05:54,lombar,16836,48,1464,116,-558,458,733585
2026-05-19 20:05:54,lombar,16836,-44,1648,131,-592,431,733607
2026-05-19 20:05:54,esterno,2152,15508,1452,-265,279,-89,76174
2026-05-19 20:05:54,esterno,2420,15532,1448,-116,167,-210,76196
2026-05-19 20:05:54,lombar,16752,-76,1388,141,-358,379,733629
2026-05-19 20:05:54,esterno,2488,15600,1500,89,229,-214,76218
2026-05-19 20:05:54,lombar,16672,20,1832,75,-447,424,733651
2026-05-19 20:05:54,esterno,2268,15524,1620,130,116,-328,76240
2026-05-19 20:05:54,lombar,16832,136,1236,128,-333,327,733673
2026-05-19 20:05:54,esterno,2416,15748,1600,114,38,-223,76262
2026-05-19 20:05:54,lombar,16752,176,1376,56,-363,377,733695
2026-05-19 20:05:54,lombar,16824,72,1392,-24,-433,465,733717
2026-05-19 20:05:54,esterno,2460,15604,1632,55,-22,-187,76284
2026-05-19 20:05:54,esterno,2496,15736,1672,154,-50,-178,76306
2026-05-19 20:05:54,lombar,17004,176,1164,108,-447,370,733739
2026-05-19 20:05:54,esterno,2304,15700,1612,178,-62,-119,76328
2026-05-19 20:05:54,lombar,16680,96,1492,103,-342,435,733761
2026-05-19 20:05:54,esterno,2472,15596,1552,26,-124,-83,76350
2026-05-19 20:05:54,lombar,16756,76,1284,85,-393,384,733783
2026-05-19 20:05:54,esterno,2256,15304,1412,-84,20,-150,76372
2026-05-19 20:05:54,lombar,16796,68,1144,66,-411,370,733805
2026-05-19 20:05:54,esterno,2216,15200,1252,-301,132,-67,76394
2026-05-19 20:05:54,lombar,16732,40,1144,-30,-373,369,733827
2026-05-19 20:05:54,esterno,2136,15488,1232,-299,58,36,76416
2026-05-19 20:05:54,lombar,16720,-48,1332,-11,-252,355,733849
2026-05-19 20:05:54,esterno,2312,15908,1388,122,-63,197,76438
2026-05-19 20:05:54,lombar,16628,-276,1396,-129,-329,354,733871
2026-05-19 20:05:54,esterno,2524,15712,1160,408,244,125,76460
2026-05-19 20:05:54,lombar,16896,-296,1424,-98,-200,213,733893
