timestamp,node,ax,ay,az,gx,gy,gz,t_ms
2026-05-19 19:59:37,esterno,2316,15904,352,-370,263,105,60486
2026-05-19 19:59:37,lombar,16672,388,2696,64,-568,386,356505
2026-05-19 19:59:37,esterno,2356,15796,48,-264,281,43,60508
2026-05-19 19:59:37,lombar,16640,240,2644,78,-442,331,356527
2026-05-19 19:59:37,esterno,2316,15844,388,-235,273,29,60530
2026-05-19 19:59:37,lombar,16632,248,2720,102,-348,362,356549
2026-05-19 19:59:37,esterno,2276,15728,228,-245,290,112,60552
2026-05-19 19:59:37,lombar,16616,252,2680,44,-445,405,356571
2026-05-19 19:59:37,esterno,2332,15772,264,-190,178,119,60574
2026-05-19 19:59:37,lombar,16696,176,2680,27,-412,363,356593
2026-05-19 19:59:37,esterno,2196,15776,192,-177,149,52,60596
2026-05-19 19:59:37,lombar,16684,188,2848,113,-261,433,356615
2026-05-19 19:59:37,esterno,2200,15844,336,-238,120,-7,60618
2026-05-19 19:59:37,lombar,16616,308,2764,25,-247,400,356637
2026-05-19 19:59:37,esterno,2392,15788,212,-185,103,19,60640
2026-05-19 19:59:37,lombar,16612,124,2676,-15,-250,340,356659
2026-05-19 19:59:37,esterno,2316,15768,372,-142,12,38,60662
2026-05-19 19:59:37,lombar,16740,60,2644,1,-246,346,356681
2026-05-19 19:59:37,esterno,2192,15868,392,-131,-67,20,60684
2026-05-19 19:59:37,lombar,16660,36,2692,54,-310,347,356703
2026-05-19 19:59:37,esterno,2220,15820,28,-55,327,-54,60706
2026-05-19 19:59:37,lombar,16764,128,2904,83,-323,315,356725
2026-05-19 19:59:37,esterno,2372,15768,516,-28,-148,-136,60728
2026-05-19 19:59:37,lombar,16720,164,2672,70,-254,305,356747
2026-05-19 19:59:37,esterno,2280,16028,372,-102,-124,56,60750
2026-05-19 19:59:37,lombar,16760,76,2764,89,-301,286,356769
2026-05-19 19:59:37,esterno,2340,15700,80,-226,14,19,60772
2026-05-19 19:59:37,lombar,16736,216,2540,145,-233,326,356791
2026-05-19 19:59:37,esterno,2252,15788,156,-127,309,-37,60794
2026-05-19 19:59:37,lombar,16620,192,2512,158,-203,318,356813
2026-05-19 19:59:37,esterno,2444,15868,164,-61,308,-47,60816
2026-05-19 19:59:37,lombar,16784,276,2740,104,-339,314,356835
2026-05-19 19:59:37,esterno,2260,15816,-64,24,436,-68,60838
2026-05-19 19:59:37,lombar,16752,316,2652,90,-318,400,356857
2026-05-19 19:59:37,esterno,2124,15924,492,7,385,-51,60860
2026-05-19 19:59:37,lombar,16668,108,2848,55,-268,307,356879
2026-05-19 19:59:37,esterno,2260,15916,292,16,220,-9,60882
2026-05-19 19:59:37,lombar,16760,188,2608,6,-345,308,356901
2026-05-19 19:59:37,esterno,2268,15860,88,-87,242,-19,60904
2026-05-19 19:59:37,lombar,16644,124,2664,96,-207,224,356923
2026-05-19 19:59:37,esterno,2240,15708,76,-170,307,-8,60926
2026-05-19 19:59:37,lombar,16752,164,2756,67,-189,277,356945
2026-05-19 19:59:38,lombar,16616,228,2684,98,-245,356,356967
2026-05-19 19:59:38,esterno,2344,15872,208,-201,255,11,60948
2026-05-19 19:59:38,esterno,2264,15908,-176,-248,322,-31,60970
2026-05-19 19:59:38,lombar,16748,132,2752,116,-222,347,356989
2026-05-19 19:59:38,esterno,2240,15768,312,-264,239,-88,60992
2026-05-19 19:59:38,lombar,16632,204,2808,85,-177,313,357011
2026-05-19 19:59:38,esterno,2176,15888,-60,-233,272,-144,61014
2026-05-19 19:59:38,lombar,16668,228,2676,81,-134,285,357033
2026-05-19 19:59:38,esterno,2548,15904,152,-101,109,-60,61036
2026-05-19 19:59:38,lombar,16740,232,2792,136,-244,354,357055
2026-05-19 19:59:38,esterno,2600,15920,332,-191,469,-19,61058
2026-05-19 19:59:38,lombar,16668,340,2764,85,-263,393,357077
2026-05-19 19:59:38,esterno,2324,15864,376,-294,266,-105,61080
2026-05-19 19:59:38,lombar,16600,132,2876,74,-331,378,357099
2026-05-19 19:59:38,esterno,2340,15912,468,-116,186,-121,61102
2026-05-19 19:59:38,lombar,16772,176,2588,204,-155,377,357121
2026-05-19 19:59:38,esterno,2300,15876,336,-203,241,-19,61124
2026-05-19 19:59:38,lombar,16616,248,2784,276,-220,424,357143
2026-05-19 19:59:38,esterno,2216,15948,308,-200,281,55,61146
2026-05-19 19:59:38,lombar,16496,384,2840,150,-378,445,357165
2026-05-19 19:59:38,lombar,16812,204,2876,194,-392,396,357187
2026-05-19 19:59:38,esterno,2372,15912,244,-180,326,13,61168
2026-05-19 19:59:38,esterno,2376,15892,188,-180,394,-104,61190
2026-05-19 19:59:38,lombar,16632,124,2764,178,-445,409,357209
2026-05-19 19:59:38,esterno,2360,15948,144,-177,443,-68,61212
2026-05-19 19:59:38,lombar,16612,76,2792,156,-493,383,357231
2026-05-19 19:59:38,esterno,2252,15852,236,-112,469,-19,61234
2026-05-19 19:59:38,lombar,16720,292,2700,111,-500,440,357253
2026-05-19 19:59:38,esterno,2108,15940,292,-46,395,1,61256
2026-05-19 19:59:38,lombar,16696,284,2976,129,-457,428,357275
2026-05-19 19:59:38,esterno,2028,15956,284,-22,220,-79,61278
2026-05-19 19:59:38,lombar,16772,272,2528,150,-410,432,357297
2026-05-19 19:59:38,esterno,2244,15864,484,-76,227,-141,61300
2026-05-19 19:59:38,lombar,16636,176,2720,102,-417,386,357319
2026-05-19 19:59:38,esterno,2280,15856,456,-126,139,-121,61322
2026-05-19 19:59:38,lombar,16664,96,2716,72,-470,389,357341
2026-05-19 19:59:38,esterno,2216,15820,312,-73,76,-90,61344
2026-05-19 19:59:38,lombar,16684,184,2704,89,-555,373,357363
2026-05-19 19:59:38,esterno,2124,15744,236,-36,262,-204,61366
2026-05-19 19:59:38,lombar,16732,220,2748,-1,-647,427,357385
2026-05-19 19:59:38,esterno,2372,15908,444,-21,-96,-217,61388
2026-05-19 19:59:38,lombar,16716,120,2728,-34,-468,404,357407
2026-05-19 19:59:38,esterno,2296,15844,84,-242,-277,-52,61410
2026-05-19 19:59:38,lombar,16544,184,2488,43,-457,406,357429
2026-05-19 19:59:38,esterno,2328,15768,-160,-241,120,-21,61432
2026-05-19 19:59:38,lombar,16672,172,2556,37,-383,431,357451
2026-05-19 19:59:38,esterno,2256,15828,4,-69,419,-79,61454
2026-05-19 19:59:38,lombar,16804,108,2676,45,-389,342,357473
2026-05-19 19:59:38,lombar,16760,32,2608,145,-347,419,357495
2026-05-19 19:59:38,esterno,2212,15964,164,66,411,-126,61476
2026-05-19 19:59:38,esterno,2152,15968,96,-13,600,-121,61498
2026-05-19 19:59:38,lombar,16728,220,2440,163,-394,405,357517
2026-05-19 19:59:38,esterno,2044,15996,296,-27,485,-82,61520
2026-05-19 19:59:38,lombar,16608,36,2724,86,-373,400,357539
2026-05-19 19:59:38,esterno,2076,15864,348,-28,489,-52,61542
2026-05-19 19:59:38,lombar,16652,-28,2668,139,-419,353,357561
2026-05-19 19:59:38,esterno,2248,15808,156,-180,440,-30,61564
2026-05-19 19:59:38,lombar,16696,48,2672,202,-326,348,357583
2026-05-19 19:59:38,esterno,2104,15756,188,-160,462,-64,61586
2026-05-19 19:59:38,lombar,16628,112,2508,151,-423,356,357605
2026-05-19 19:59:38,esterno,2180,15996,132,-91,421,-69,61608
2026-05-19 19:59:38,lombar,16680,164,2656,176,-419,338,357627
2026-05-19 19:59:38,esterno,2044,15848,284,-204,417,-10,61630
2026-05-19 19:59:38,lombar,16668,72,2460,171,-377,262,357649
2026-05-19 19:59:38,esterno,2152,15888,244,-170,396,43,61652
2026-05-19 19:59:38,lombar,16668,72,2584,187,-380,348,357671
2026-05-19 19:59:38,esterno,2228,15672,236,-288,252,-42,61674
2026-05-19 19:59:38,lombar,16628,112,2420,174,-327,315,357693
2026-05-19 19:59:38,esterno,2392,15832,484,-66,216,-8,61696
2026-05-19 19:59:38,lombar,16640,236,2540,169,-351,371,357715
2026-05-19 19:59:38,esterno,2060,15944,636,-217,203,87,61718
2026-05-19 19:59:38,lombar,16652,256,2368,102,-341,314,357737
2026-05-19 19:59:38,esterno,2084,15884,264,-165,-48,125,61740
2026-05-19 19:59:38,lombar,16708,48,2548,75,-312,311,357759
2026-05-19 19:59:38,esterno,2140,15908,336,-229,13,151,61762
2026-05-19 19:59:38,lombar,16740,84,2572,108,-336,279,357781
2026-05-19 19:59:38,esterno,2252,15748,300,-334,-9,114,61784
2026-05-19 19:59:38,lombar,16772,124,2560,104,-269,287,357803
2026-05-19 19:59:38,esterno,2132,15772,400,-286,-29,98,61806
2026-05-19 19:59:38,lombar,16696,120,2484,63,-327,346,357825
2026-05-19 19:59:38,esterno,2252,15816,388,-299,-74,209,61828
2026-05-19 19:59:38,lombar,16628,124,2480,73,-220,260,357847
2026-05-19 19:59:38,esterno,2176,15784,160,-242,-56,196,61850
2026-05-19 19:59:38,lombar,16584,96,2568,53,-221,305,357869
2026-05-19 19:59:38,esterno,2216,15888,296,-242,-92,142,61872
2026-05-19 19:59:38,lombar,16720,120,2488,39,-231,299,357891
2026-05-19 19:59:38,esterno,2292,15864,316,-227,-26,58,61894
2026-05-19 19:59:38,lombar,16768,156,2596,73,-182,278,357913
2026-05-19 19:59:38,esterno,2212,15828,276,-174,-29,58,61916
2026-05-19 19:59:38,lombar,16640,52,2460,33,-152,235,357935
2026-05-19 19:59:39,esterno,2292,15936,384,-159,-38,128,61938
2026-05-19 19:59:39,lombar,16712,88,2400,83,-140,185,357957
2026-05-19 19:59:39,esterno,2116,15968,348,-69,-64,69,61960
2026-05-19 19:59:39,lombar,16684,136,2696,120,-223,245,357979
2026-05-19 19:59:39,esterno,2192,15876,44,45,177,-68,61982
2026-05-19 19:59:39,lombar,16700,208,2536,121,-322,330,358001
2026-05-19 19:59:39,esterno,2400,15908,556,-82,-193,-131,62004
2026-05-19 19:59:39,lombar,16532,152,2432,134,-255,322,358023
2026-05-19 19:59:39,esterno,2236,15856,128,-258,-351,125,62026
2026-05-19 19:59:39,lombar,16584,124,2516,87,-230,310,358045
2026-05-19 19:59:39,esterno,2188,15676,64,-198,59,38,62048
2026-05-19 19:59:39,lombar,16712,280,2696,53,-206,366,358067
2026-05-19 19:59:39,esterno,2100,15772,44,-128,296,-121,62070
2026-05-19 19:59:39,lombar,16772,184,2636,109,-253,274,358089
2026-05-19 19:59:39,esterno,2352,15884,420,-75,258,-189,62092
2026-05-19 19:59:39,lombar,16700,124,2604,90,-314,288,358111
2026-05-19 19:59:39,esterno,2352,16072,172,-10,359,-117,62114
2026-05-19 19:59:39,lombar,16712,280,2496,78,-278,355,358133
2026-05-19 19:59:39,esterno,2256,15884,320,-28,391,-104,62136
2026-05-19 19:59:39,lombar,16600,228,2428,110,-158,331,358155
2026-05-19 19:59:39,esterno,2068,16032,528,-32,272,-132,62158
2026-05-19 19:59:39,lombar,16612,124,2492,22,-199,299,358177
2026-05-19 19:59:39,esterno,2052,15940,228,-145,195,-85,62180
2026-05-19 19:59:39,lombar,16740,116,2600,62,-273,277,358199
2026-05-19 19:59:39,esterno,2212,15780,152,-210,198,-75,62202
2026-05-19 19:59:39,lombar,16720,56,2556,20,-326,382,358221
