timestamp,node,ax,ay,az,gx,gy,gz,t_ms
2026-05-19 20:06:29,esterno,2280,16020,780,-326,402,-21,111154
2026-05-19 20:06:29,lombar,16700,256,2592,66,-518,421,768587
2026-05-19 20:06:29,lombar,16556,296,2544,95,-439,404,768609
2026-05-19 20:06:29,esterno,2212,15872,588,-433,404,8,111176
2026-05-19 20:06:29,lombar,16740,376,2464,55,-722,377,768631
2026-05-19 20:06:29,esterno,2160,15948,708,-570,395,35,111198
2026-05-19 20:06:29,esterno,2152,15812,780,-590,171,104,111220
2026-05-19 20:06:29,lombar,16720,404,2624,75,-726,440,768653
2026-05-19 20:06:29,esterno,2192,15780,444,-673,191,73,111242
2026-05-19 20:06:29,lombar,16712,312,2592,109,-771,483,768675
2026-05-19 20:06:29,esterno,2144,15624,760,-716,404,0,111264
2026-05-19 20:06:29,lombar,16668,420,2692,81,-721,520,768697
2026-05-19 20:06:29,esterno,2144,15784,912,-611,381,7,111286
2026-05-19 20:06:29,lombar,16704,304,2520,62,-629,392,768719
2026-05-19 20:06:29,esterno,2396,15956,944,-564,231,258,111308
2026-05-19 20:06:29,lombar,16680,252,2508,5,-653,383,768741
2026-05-19 20:06:29,esterno,2256,15892,952,-648,373,351,111330
2026-05-19 20:06:29,lombar,16664,172,2460,-19,-701,390,768763
2026-05-19 20:06:29,esterno,2336,15844,864,-784,227,228,111352
2026-05-19 20:06:29,lombar,16648,188,2356,113,-840,366,768785
2026-05-19 20:06:29,esterno,2636,15772,936,-705,340,123,111374
2026-05-19 20:06:29,lombar,16752,108,2256,158,-664,402,768807
2026-05-19 20:06:29,lombar,16608,204,2344,213,-734,391,768829
2026-05-19 20:06:29,esterno,2628,15724,1072,-772,504,275,111396
2026-05-19 20:06:29,esterno,2364,15828,1164,-811,504,394,111418
2026-05-19 20:06:29,lombar,16680,444,2292,183,-740,356,768851
2026-05-19 20:06:29,esterno,2100,15672,1092,-770,468,394,111440
2026-05-19 20:06:29,lombar,16668,212,2448,220,-843,360,768873
2026-05-19 20:06:29,esterno,2204,15700,1160,-698,499,265,111462
2026-05-19 20:06:29,lombar,16704,168,2404,272,-922,387,768895
2026-05-19 20:06:29,esterno,2220,15584,1356,-543,467,237,111484
2026-05-19 20:06:29,lombar,16588,160,2296,299,-924,356,768917
2026-05-19 20:06:29,esterno,2236,15600,1204,-436,433,233,111506
2026-05-19 20:06:29,lombar,16748,112,2092,343,-767,313,768939
2026-05-19 20:06:30,esterno,2112,15688,1296,-348,301,200,111528
2026-05-19 20:06:30,lombar,16780,460,2168,186,-531,228,768961
2026-05-19 20:06:30,esterno,2428,15820,1348,-413,263,170,111550
2026-05-19 20:06:30,lombar,16796,300,2100,-26,-616,282,768983
2026-05-19 20:06:30,esterno,2652,16000,1204,-651,117,145,111572
2026-05-19 20:06:30,lombar,16664,292,2128,-69,-618,212,769005
2026-05-19 20:06:30,esterno,2708,16028,912,-946,179,145,111594
2026-05-19 20:06:30,lombar,16592,500,2356,-133,-734,286,769027
2026-05-19 20:06:30,esterno,2480,15920,676,-1032,195,358,111616
