timestamp,node,ax,ay,az,gx,gy,gz,t_ms
2026-05-19 20:07:37,lombar,16772,396,1460,6,-253,367,836611
2026-05-19 20:07:37,esterno,1860,15836,-2572,-85,-189,59,179178
2026-05-19 20:07:37,lombar,16856,468,1520,-28,-96,352,836633
2026-05-19 20:07:37,esterno,1664,15576,-2576,-40,-62,-57,179200
2026-05-19 20:07:37,esterno,1868,15644,-2184,-18,12,-61,179222
2026-05-19 20:07:37,lombar,16864,364,1220,33,-256,375,836655
2026-05-19 20:07:37,esterno,1988,15988,-2208,-73,299,-6,179244
2026-05-19 20:07:37,lombar,16724,240,1408,27,-421,329,836677
2026-05-19 20:07:37,esterno,1628,16108,-2428,-183,413,-94,179266
2026-05-19 20:07:37,lombar,16728,268,1268,-46,-244,298,836699
2026-05-19 20:07:37,esterno,1628,15964,-2356,-52,51,-121,179288
2026-05-19 20:07:37,lombar,16884,356,1392,56,-298,371,836721
2026-05-19 20:07:37,esterno,1612,15816,-2308,101,90,-103,179310
2026-05-19 20:07:37,lombar,16872,272,1456,106,-300,381,836743
2026-05-19 20:07:37,esterno,1796,15640,-2312,-226,304,-134,179332
2026-05-19 20:07:37,lombar,16672,180,1340,48,-166,375,836765
2026-05-19 20:07:37,esterno,1860,15648,-2240,-383,166,-61,179354
2026-05-19 20:07:37,lombar,16712,264,1360,3,-318,287,836787
2026-05-19 20:07:37,esterno,1924,16004,-2152,-142,238,-78,179376
2026-05-19 20:07:37,lombar,16712,332,1316,10,-132,290,836809
2026-05-19 20:07:37,lombar,16736,264,1408,65,-95,211,836831
2026-05-19 20:07:37,esterno,1852,16064,-1964,-200,448,-64,179398
2026-05-19 20:07:37,esterno,1832,15840,-2420,-319,317,29,179420
2026-05-19 20:07:37,lombar,16948,312,1332,119,-372,259,836853
2026-05-19 20:07:37,esterno,1908,15748,-2444,-212,198,87,179442
2026-05-19 20:07:37,lombar,16704,388,1520,167,-285,332,836875
2026-05-19 20:07:37,lombar,16720,388,1368,112,-230,311,836897
2026-05-19 20:07:37,esterno,1936,15756,-2208,-242,512,90,179464
2026-05-19 20:07:37,esterno,1720,15716,-2248,-339,476,38,179486
2026-05-19 20:07:37,lombar,16740,436,1360,152,-301,283,836919
2026-05-19 20:07:37,esterno,1628,15916,-2436,-297,333,-32,179508
2026-05-19 20:07:37,lombar,16808,280,1328,172,-303,275,836941
2026-05-19 20:07:38,esterno,1712,16104,-2464,-300,285,137,179530
2026-05-19 20:07:38,lombar,16640,292,2080,145,-456,276,836963
2026-05-19 20:07:38,esterno,1728,15876,-2360,-394,174,194,179552
2026-05-19 20:07:38,lombar,16976,404,1588,224,-398,351,836985
2026-05-19 20:07:38,lombar,16964,320,1216,136,19,273,837007
2026-05-19 20:07:38,esterno,1856,15748,-1960,-180,72,125,179574
2026-05-19 20:07:38,esterno,1968,15776,-1852,42,141,45,179596
2026-05-19 20:07:38,lombar,16604,308,888,87,-382,191,837029
2026-05-19 20:07:38,esterno,1872,15816,-1916,77,66,-18,179618
