timestamp,node,ax,ay,az,gx,gy,gz,t_ms
2026-05-19 20:12:00,esterno,5784,13184,7532,1415,-1615,-2159,442496
2026-05-19 20:12:00,lombar,13308,-1036,-11092,2037,1776,59,1099951
2026-05-19 20:12:00,esterno,6420,12800,6552,2067,-377,-2962,442518
2026-05-19 20:12:01,lombar,12828,680,-8852,2270,2959,651,1099973
2026-05-19 20:12:01,esterno,6444,12452,5912,2176,425,-2197,442540
2026-05-19 20:12:01,lombar,12852,2124,-8392,1116,1072,31,1099995
2026-05-19 20:12:01,esterno,5276,12472,5248,2406,783,-473,442562
2026-05-19 20:12:01,lombar,12432,1796,-9236,1796,829,-620,1100017
2026-05-19 20:12:01,esterno,4500,13060,6316,1689,625,792,442584
2026-05-19 20:12:01,lombar,11772,1448,-8292,1794,1083,-1231,1100039
2026-05-19 20:12:01,esterno,3960,12984,6120,1800,376,1214,442606
2026-05-19 20:12:01,lombar,12064,1932,-9212,983,618,-1155,1100061
2026-05-19 20:12:01,esterno,3832,12944,6500,2623,-74,1653,442628
2026-05-19 20:12:01,lombar,11888,2212,-10468,773,1003,-1417,1100083
2026-05-19 20:12:01,esterno,5652,13584,5596,2075,568,2217,442650
2026-05-19 20:12:01,lombar,13168,2676,-10528,1463,1609,-1904,1100105
2026-05-19 20:12:01,esterno,6604,14904,6604,1942,2671,2673,442672
2026-05-19 20:12:01,lombar,13244,2548,-10140,575,82,-2024,1100127
2026-05-19 20:12:01,esterno,8452,16032,5620,1593,4918,3035,442694
2026-05-19 20:12:01,lombar,13596,1096,-10576,-471,-641,-1714,1100149
2026-05-19 20:12:01,esterno,9160,14988,5236,983,7608,2084,442716
2026-05-19 20:12:01,lombar,12648,396,-10444,825,-85,-944,1100171
2026-05-19 20:12:01,esterno,8436,12648,7540,190,7396,939,442738
2026-05-19 20:12:01,lombar,11168,436,-9848,605,-652,-861,1100193
2026-05-19 20:12:01,esterno,5408,11892,8036,-121,6170,947,442760
2026-05-19 20:12:01,lombar,11408,256,-10500,1832,-337,-1226,1100215
2026-05-19 20:12:01,esterno,4728,13004,5120,-686,6355,1630,442782
2026-05-19 20:12:01,lombar,11900,828,-9512,1584,-131,-1131,1100237
2026-05-19 20:12:01,esterno,3780,13428,5088,-1002,6798,3074,442804
2026-05-19 20:12:01,lombar,12156,896,-9156,1275,-1777,-527,1100259
