timestamp,node,ax,ay,az,gx,gy,gz,t_ms
2026-05-19 20:16:32,lombar,16760,336,-772,-275,-534,500,1371299
2026-05-19 20:16:32,esterno,1284,15704,-4296,-508,-159,-13,713866
2026-05-19 20:16:32,lombar,16696,148,-1032,-350,-397,461,1371321
2026-05-19 20:16:32,esterno,1396,15780,-4340,-525,-307,68,713888
2026-05-19 20:16:32,lombar,16656,80,-556,-287,-480,316,1371343
2026-05-19 20:16:32,esterno,1500,15588,-4456,-554,-361,142,713910
2026-05-19 20:16:32,lombar,16800,88,-644,-308,-500,474,1371365
2026-05-19 20:16:32,esterno,1492,15488,-4516,-646,-492,264,713932
2026-05-19 20:16:32,lombar,16648,196,-916,-439,-521,494,1371387
2026-05-19 20:16:32,esterno,1580,15540,-4660,-836,-448,201,713954
2026-05-19 20:16:32,lombar,16752,256,-620,-607,-640,506,1371409
2026-05-19 20:16:32,esterno,1576,15628,-4148,-930,-315,127,713976
2026-05-19 20:16:32,lombar,16764,244,-628,-536,-624,373,1371431
2026-05-19 20:16:32,esterno,1744,15584,-4224,-996,-496,189,713998
2026-05-19 20:16:32,lombar,16748,64,-620,-496,-415,371,1371453
2026-05-19 20:16:32,esterno,1624,15380,-4532,-753,-403,208,714020
2026-05-19 20:16:32,lombar,16800,224,-880,-447,-477,405,1371475
2026-05-19 20:16:32,esterno,1472,15412,-4344,-628,-475,128,714042
2026-05-19 20:16:32,lombar,16740,260,-692,-371,-514,457,1371497
2026-05-19 20:16:32,esterno,1224,15368,-4024,-564,-532,-27,714064
2026-05-19 20:16:32,lombar,16632,104,-620,-495,-409,489,1371519
2026-05-19 20:16:32,esterno,1240,15392,-4076,-389,-754,-55,714086
2026-05-19 20:16:32,lombar,16680,276,-468,-514,-297,551,1371541
2026-05-19 20:16:32,esterno,1352,15220,-4200,-271,-846,-91,714108
2026-05-19 20:16:32,lombar,16660,564,-796,-745,-130,603,1371563
2026-05-19 20:16:32,esterno,1372,15292,-4276,-411,-1032,-98,714130
2026-05-19 20:16:32,lombar,16732,564,-816,-944,-45,647,1371585
2026-05-19 20:16:32,esterno,1476,15452,-4240,-528,-1138,-191,714152
2026-05-19 20:16:32,lombar,16704,392,-716,-1166,-373,718,1371607
2026-05-19 20:16:32,esterno,1644,15704,-4056,-559,-1224,-312,714174
2026-05-19 20:16:32,lombar,16644,168,-1016,-1205,-497,862,1371629
2026-05-19 20:16:32,esterno,1424,15604,-4236,-559,-1293,-414,714196
2026-05-19 20:16:32,lombar,16672,48,-916,-1224,-373,909,1371651
2026-05-19 20:16:32,esterno,1412,15560,-4192,-484,-1220,-429,714218
2026-05-19 20:16:32,lombar,16648,200,-704,-1136,-207,895,1371673
2026-05-19 20:16:32,esterno,1516,15516,-4288,-442,-1110,-388,714240
2026-05-19 20:16:32,lombar,16624,236,-768,-1130,-217,894,1371695
2026-05-19 20:16:32,esterno,1444,15640,-4256,-274,-1079,-447,714262
2026-05-19 20:16:32,lombar,16672,208,-720,-1280,-160,854,1371717
2026-05-19 20:16:32,esterno,1316,15572,-4312,-273,-575,-564,714284
2026-05-19 20:16:32,lombar,16668,68,-876,-1327,-263,671,1371739
2026-05-19 20:16:32,esterno,1364,15744,-3764,-565,-1175,-385,714306
2026-05-19 20:16:32,lombar,16852,-152,-908,-1207,-264,722,1371761
2026-05-19 20:16:32,esterno,1460,15660,-4368,-407,-1202,-105,714328
2026-05-19 20:16:32,lombar,16744,-208,-732,-1045,-58,737,1371783
2026-05-19 20:16:32,esterno,1128,15484,-4436,-47,-585,-167,714350
2026-05-19 20:16:32,lombar,16796,-232,-884,-822,-96,709,1371805
2026-05-19 20:16:32,esterno,1164,15588,-4088,46,-627,-253,714372
2026-05-19 20:16:32,lombar,16736,-228,-900,-703,-82,640,1371827
2026-05-19 20:16:32,esterno,992,15700,-4084,23,-659,-169,714394
2026-05-19 20:16:32,lombar,16692,-288,-808,-628,26,709,1371849
2026-05-19 20:16:32,esterno,944,15720,-3796,-241,-794,-86,714416
2026-05-19 20:16:32,lombar,16708,-224,-696,-431,-60,687,1371871
2026-05-19 20:16:32,esterno,1036,15640,-4084,-307,-908,57,714438
2026-05-19 20:16:32,lombar,16756,-136,-728,-311,-111,699,1371893
2026-05-19 20:16:32,esterno,1124,15476,-4176,-39,-857,-47,714460
2026-05-19 20:16:32,lombar,16600,-180,-656,-134,-124,540,1371915
2026-05-19 20:16:32,esterno,1016,15500,-4256,-60,-770,-151,714482
2026-05-19 20:16:32,lombar,16764,-84,-640,-104,-168,522,1371937
2026-05-19 20:16:32,esterno,968,15620,-4252,-214,-642,-237,714504
2026-05-19 20:16:32,lombar,16668,-76,-860,-223,-151,554,1371959
2026-05-19 20:16:33,esterno,1108,15596,-4128,-159,-643,-158,714526
2026-05-19 20:16:33,lombar,16676,-76,-768,-191,-97,438,1371981
2026-05-19 20:16:33,esterno,1128,15684,-4180,-238,-605,-114,714548
2026-05-19 20:16:33,lombar,16600,-204,-744,-278,-292,414,1372003
2026-05-19 20:16:33,esterno,1296,15772,-4344,-452,-336,-127,714570
2026-05-19 20:16:33,lombar,16620,-256,-596,-244,-391,360,1372025
2026-05-19 20:16:33,esterno,1236,15716,-4192,-461,-158,-94,714592
2026-05-19 20:16:33,lombar,16416,-468,-328,-121,-625,297,1372047
2026-05-19 20:16:33,esterno,1148,15588,-4360,-382,3,-69,714614
2026-05-19 20:16:33,lombar,16636,-268,-704,-139,-400,390,1372069
2026-05-19 20:16:33,esterno,912,15540,-4112,-414,171,-79,714636
2026-05-19 20:16:33,lombar,16660,-244,-816,-178,-259,328,1372091
2026-05-19 20:16:33,esterno,848,15664,-4092,-568,165,39,714658
2026-05-19 20:16:33,lombar,16700,-336,-852,-31,-378,275,1372113
2026-05-19 20:16:33,esterno,800,15736,-4012,-569,1,4,714680
2026-05-19 20:16:33,lombar,16740,-292,-764,-83,-609,340,1372135
2026-05-19 20:16:33,esterno,988,15836,-3892,-601,-27,68,714702
2026-05-19 20:16:33,lombar,16736,-348,-840,-41,-569,329,1372157
2026-05-19 20:16:33,esterno,940,15708,-3924,-668,45,125,714724
2026-05-19 20:16:33,lombar,16628,-360,-740,35,-455,320,1372179
2026-05-19 20:16:33,esterno,1108,15600,-4068,-543,87,226,714746
2026-05-19 20:16:33,lombar,16708,-80,-708,134,-357,363,1372201
2026-05-19 20:16:33,esterno,1196,15544,-4228,-531,179,117,714768
2026-05-19 20:16:33,lombar,16696,-80,-772,149,-521,264,1372223
2026-05-19 20:16:33,esterno,1076,15712,-4012,-645,206,61,714790
2026-05-19 20:16:33,lombar,16576,-4,-568,119,-530,354,1372245
2026-05-19 20:16:33,esterno,1136,15712,-4248,-707,462,95,714812
2026-05-19 20:16:33,lombar,16668,-108,-896,147,-519,274,1372267
2026-05-19 20:16:33,esterno,1276,15712,-4056,-693,621,134,714834
2026-05-19 20:16:33,lombar,16748,-68,-760,157,-513,232,1372289
2026-05-19 20:16:33,esterno,1224,15796,-4000,-798,618,186,714856
2026-05-19 20:16:33,lombar,16628,-216,-632,97,-600,235,1372311
2026-05-19 20:16:33,esterno,1176,15656,-4048,-641,764,146,714878
2026-05-19 20:16:33,lombar,16740,-160,-860,176,-646,281,1372333
2026-05-19 20:16:33,esterno,896,15736,-3644,-631,759,32,714900
2026-05-19 20:16:33,lombar,16720,-40,-924,188,-572,291,1372355
2026-05-19 20:16:33,esterno,1032,15968,-3360,-909,202,230,714922
2026-05-19 20:16:33,lombar,16724,-196,-1016,316,-598,206,1372377
2026-05-19 20:16:33,esterno,1084,15836,-3864,-954,56,466,714944
2026-05-19 20:16:33,lombar,16616,-120,-1356,297,-380,249,1372399
2026-05-19 20:16:33,esterno,1188,15696,-3808,-817,486,373,714966
2026-05-19 20:16:33,lombar,16524,12,-1168,328,-170,235,1372421
2026-05-19 20:16:33,esterno,1444,15836,-3404,-724,286,245,714988
2026-05-19 20:16:33,lombar,16408,-16,-548,285,-560,334,1372443
2026-05-19 20:16:33,esterno,1284,15716,-3076,-632,303,205,715010
2026-05-19 20:16:33,lombar,16612,-148,-1000,109,-849,477,1372465
2026-05-19 20:16:33,esterno,1104,15972,-3332,-940,372,220,715032
2026-05-19 20:16:33,lombar,16484,24,-1012,93,-175,324,1372487
2026-05-19 20:16:33,esterno,976,15988,-3720,-1196,175,276,715054
2026-05-19 20:16:33,lombar,16564,12,-908,94,-265,344,1372509
2026-05-19 20:16:33,esterno,1068,15888,-3556,-986,-78,400,715076
2026-05-19 20:16:33,lombar,16680,12,-900,-26,-973,423,1372531
2026-05-19 20:16:33,esterno,1192,15764,-3312,-1066,-113,329,715098
2026-05-19 20:16:33,lombar,16584,-40,-840,-5,-1082,460,1372553
2026-05-19 20:16:33,esterno,1088,15696,-3524,-1363,35,251,715120
2026-05-19 20:16:33,lombar,16484,-64,-960,67,-461,427,1372575
2026-05-19 20:16:33,esterno,1224,15536,-3684,-1414,-50,299,715142
2026-05-19 20:16:33,lombar,16528,48,-724,-179,-619,502,1372597
2026-05-19 20:16:33,esterno,1188,15716,-3428,-1293,-193,372,715164
2026-05-19 20:16:33,lombar,16840,-28,-592,-273,-1326,510,1372619
2026-05-19 20:16:33,esterno,1188,15568,-3404,-1229,-75,291,715186
2026-05-19 20:16:33,lombar,16940,-112,-632,-179,-1236,437,1372641
2026-05-19 20:16:33,esterno,1444,15684,-3544,-1416,34,194,715208
2026-05-19 20:16:33,lombar,16796,-192,-780,34,-743,417,1372663
2026-05-19 20:16:33,esterno,1512,15492,-3424,-1224,92,75,715230
2026-05-19 20:16:33,lombar,16772,28,-1000,-24,-603,594,1372685
2026-05-19 20:16:33,esterno,1244,15372,-3160,-959,188,-7,715252
2026-05-19 20:16:33,lombar,16768,-180,-792,-194,-896,545,1372707
2026-05-19 20:16:33,esterno,1300,15516,-3472,-814,203,-33,715274
2026-05-19 20:16:33,lombar,16816,-112,-1072,36,-1162,440,1372729
2026-05-19 20:16:33,esterno,1224,15540,-3156,-624,208,-213,715296
2026-05-19 20:16:33,lombar,16748,-336,-1056,256,-735,491,1372751
2026-05-19 20:16:33,esterno,1124,15492,-3172,-587,23,-276,715318
2026-05-19 20:16:33,lombar,16732,-180,-868,232,-583,579,1372773
2026-05-19 20:16:33,esterno,1060,15572,-3008,-415,-143,-202,715340
2026-05-19 20:16:33,lombar,16724,-48,-1096,155,-795,512,1372795
2026-05-19 20:16:33,esterno,1036,15460,-2836,-128,-332,-51,715362
2026-05-19 20:16:33,lombar,16744,-48,-1036,31,-546,416,1372817
2026-05-19 20:16:33,esterno,1160,15500,-2760,-34,-422,-29,715384
2026-05-19 20:16:33,lombar,16784,-192,-1148,-149,-491,409,1372839
2026-05-19 20:16:33,esterno,1228,15740,-2920,21,-415,-21,715406
2026-05-19 20:16:33,lombar,16820,-176,-1216,-157,-606,372,1372861
2026-05-19 20:16:33,esterno,1228,15764,-3140,0,-311,-90,715428
2026-05-19 20:16:33,lombar,16628,-292,-1136,-200,-585,389,1372883
2026-05-19 20:16:33,esterno,1392,15976,-2924,-199,-364,-59,715450
2026-05-19 20:16:33,lombar,16644,-228,-964,-168,-575,390,1372905
2026-05-19 20:16:33,esterno,1028,15748,-3372,-46,-559,0,715472
2026-05-19 20:16:33,lombar,16708,-252,-748,-64,-885,347,1372927
2026-05-19 20:16:33,esterno,888,15512,-3224,148,-87,-204,715494
2026-05-19 20:16:33,lombar,16704,-252,-1028,-27,-869,377,1372949
2026-05-19 20:16:33,esterno,1056,15504,-3040,-50,-534,-282,715516
2026-05-19 20:16:34,lombar,16640,-320,-992,-11,-527,405,1372971
2026-05-19 20:16:34,esterno,1244,15428,-3056,-148,-576,-150,715538
2026-05-19 20:16:34,lombar,16580,-120,-1112,301,-414,402,1372993
2026-05-19 20:16:34,esterno,1356,15588,-3496,30,-43,-28,715560
2026-05-19 20:16:34,lombar,16456,-216,-1684,206,17,301,1373015
2026-05-19 20:16:34,esterno,1112,15840,-3452,235,23,-146,715582
2026-05-19 20:16:34,lombar,16820,-448,-1140,187,-514,296,1373037
2026-05-19 20:16:34,esterno,1128,15996,-3188,450,-49,-252,715604
2026-05-19 20:16:34,lombar,16904,-548,-1328,204,-378,407,1373059
2026-05-19 20:16:34,esterno,1096,15948,-2888,201,241,-241,715626
2026-05-19 20:16:34,lombar,16536,-476,-1884,97,336,342,1373081
2026-05-19 20:16:34,esterno,1044,15996,-3108,-128,106,-36,715648
2026-05-19 20:16:34,lombar,16384,-284,-1256,249,-7,193,1373103
2026-05-19 20:16:34,esterno,1068,16060,-3440,130,314,167,715670
2026-05-19 20:16:34,lombar,16912,-244,-1196,318,-595,123,1373125
2026-05-19 20:16:34,esterno,1044,16044,-3040,256,353,30,715692
2026-05-19 20:16:34,lombar,16552,-356,-1284,190,-421,192,1373147
2026-05-19 20:16:34,esterno,1096,15920,-3116,-92,374,-94,715714
2026-05-19 20:16:34,lombar,16408,-376,-1144,177,-14,124,1373169
2026-05-19 20:16:34,esterno,1096,15728,-3240,-95,417,-59,715736
2026-05-19 20:16:34,lombar,16512,-216,-1524,351,-1,114,1373191
2026-05-19 20:16:34,esterno,1220,15660,-3348,-56,508,139,715758
2026-05-19 20:16:34,lombar,16156,-148,-1580,201,-273,107,1373213
2026-05-19 20:16:34,esterno,1052,15636,-3176,-49,650,154,715780
2026-05-19 20:16:34,lombar,16368,-204,-1272,228,-230,7,1373235
2026-05-19 20:16:34,esterno,1416,15664,-3120,-25,515,193,715802
2026-05-19 20:16:34,lombar,16532,-288,-1328,419,-401,76,1373257
2026-05-19 20:16:34,esterno,1248,15632,-3344,-19,501,122,715824
2026-05-19 20:16:34,lombar,16388,-340,-1440,499,-417,140,1373279
2026-05-19 20:16:34,esterno,1080,15808,-3120,-222,618,55,715846
2026-05-19 20:16:34,lombar,15916,-1024,-1572,377,-672,880,1373301
2026-05-19 20:16:34,esterno,1172,15844,-2964,-396,507,217,715868
2026-05-19 20:16:34,lombar,16400,448,-1932,568,-621,48,1373323
2026-05-19 20:16:34,esterno,1232,15908,-2868,-447,465,336,715890
2026-05-19 20:16:34,lombar,16500,-16,-1776,380,-1052,-8,1373345
2026-05-19 20:16:34,esterno,1480,16076,-2884,-542,492,357,715912
2026-05-19 20:16:34,lombar,16768,-252,-2028,147,-730,93,1373367
2026-05-19 20:16:34,esterno,1664,16424,-2608,-701,693,257,715934
2026-05-19 20:16:34,lombar,16684,-152,-1876,257,-739,-23,1373389
2026-05-19 20:16:34,esterno,1628,16428,-2560,-696,734,289,715956
2026-05-19 20:16:34,lombar,16688,-204,-2128,489,-841,123,1373411
2026-05-19 20:16:34,esterno,1464,16260,-2480,-747,649,284,715978
2026-05-19 20:16:34,lombar,16664,-148,-2028,453,-661,235,1373433
2026-05-19 20:16:34,esterno,1212,16072,-2604,-742,377,308,716000
2026-05-19 20:16:34,lombar,16644,-64,-1572,462,-848,320,1373455
2026-05-19 20:16:34,esterno,988,15860,-2576,-713,120,239,716022
2026-05-19 20:16:34,lombar,16608,120,-1784,354,-879,260,1373477
2026-05-19 20:16:34,esterno,1100,15956,-2640,-879,88,214,716044
2026-05-19 20:16:34,lombar,16428,-28,-1616,391,-599,281,1373499
2026-05-19 20:16:34,esterno,1276,15820,-2896,-956,-73,301,716066
2026-05-19 20:16:34,lombar,16520,24,-1716,288,-785,286,1373521
2026-05-19 20:16:34,esterno,1608,15628,-3364,-792,236,155,716088
2026-05-19 20:16:34,lombar,16532,4,-1540,137,-947,440,1373543
2026-05-19 20:16:34,esterno,1692,15432,-2692,-829,73,-5,716110
2026-05-19 20:16:34,lombar,16532,-36,-1512,101,-1084,467,1373565
2026-05-19 20:16:34,esterno,1284,15680,-2592,-1029,-409,-27,716132
2026-05-19 20:16:34,lombar,16492,56,-1808,173,-980,490,1373587
2026-05-19 20:16:34,esterno,1260,15656,-3268,-951,-25,78,716154
2026-05-19 20:16:34,lombar,16632,-16,-1740,-45,-1131,619,1373609
2026-05-19 20:16:34,esterno,1364,15692,-2888,-929,144,-15,716176
2026-05-19 20:16:34,lombar,16704,-32,-1820,-120,-1088,653,1373631
2026-05-19 20:16:34,esterno,1476,15748,-2772,-747,119,-54,716198
2026-05-19 20:16:34,lombar,16500,-56,-2096,-203,-1017,666,1373653
2026-05-19 20:16:34,esterno,1260,16152,-1868,-854,81,-189,716220
2026-05-19 20:16:34,lombar,16516,-84,-2004,-311,-991,629,1373675
2026-05-19 20:16:34,esterno,1268,16236,-2180,-1062,-97,-144,716242
2026-05-19 20:16:34,lombar,16600,-56,-1832,-279,-862,600,1373697
2026-05-19 20:16:34,esterno,1236,15748,-2760,-995,-72,-135,716264
2026-05-19 20:16:34,lombar,16668,-156,-1896,-216,-865,526,1373719
2026-05-19 20:16:34,esterno,1400,15552,-2872,-822,68,-148,716286
2026-05-19 20:16:34,lombar,16520,-248,-1928,-218,-892,565,1373741
2026-05-19 20:16:34,esterno,1324,15716,-2436,-826,55,-272,716308
2026-05-19 20:16:34,lombar,16496,-252,-2172,-247,-793,730,1373763
2026-05-19 20:16:34,esterno,1168,16028,-2168,-728,-64,-362,716330
2026-05-19 20:16:34,lombar,16500,-392,-1980,-225,-797,618,1373785
2026-05-19 20:16:34,esterno,1240,15844,-2384,-822,-3,-148,716352
2026-05-19 20:16:34,lombar,16404,-276,-1900,-311,-745,597,1373807
2026-05-19 20:16:34,esterno,1216,15724,-2656,-664,84,-100,716374
2026-05-19 20:16:34,lombar,16532,-300,-2032,-371,-721,528,1373829
2026-05-19 20:16:34,esterno,1112,15812,-2076,-213,-167,-161,716396
2026-05-19 20:16:34,lombar,16472,-460,-2216,-88,-781,561,1373851
2026-05-19 20:16:34,esterno,1248,16012,-1920,-357,-92,-228,716418
2026-05-19 20:16:34,lombar,16356,-436,-2184,65,-655,454,1373873
2026-05-19 20:16:34,esterno,1212,16180,-2340,-1095,287,-53,716440
2026-05-19 20:16:34,lombar,16496,-176,-2656,251,-358,436,1373895
2026-05-19 20:16:34,esterno,1372,16112,-1848,-758,-106,143,716462
2026-05-19 20:16:34,lombar,16584,-284,-2492,263,-436,224,1373917
2026-05-19 20:16:34,esterno,1244,16056,-1516,-183,-215,80,716484
2026-05-19 20:16:34,lombar,16752,-216,-2452,264,-133,286,1373939
2026-05-19 20:16:34,esterno,1276,16360,-1612,-440,-245,45,716506
2026-05-19 20:16:34,lombar,16552,-336,-2396,84,186,254,1373961
2026-05-19 20:16:35,esterno,1364,16408,-1848,-815,-212,82,716528
2026-05-19 20:16:35,lombar,16536,-312,-2188,99,195,225,1373983
